Discard?,DOI,Pub Year,Study_number,RN,Author,Study_midyear,Ecosystem_type,Manipulation,Manipulation_V2,Manipulation_level,Latitude,Longitude,Elevation,Soil_type,Meas_method,Soil_drainage,CH4_annual,CH4_growingseason,CH4_monthly,CH4-C_converted,Season_converted,N,CH4_flux_unit,CH4_flux_unit_V2,SD_CH4_annual,SD_CH4_growingseason,SD_CH4_monthly,SM_value,SM_sd,SM_depth,SM_unit,same timescale as flux? (T/F),"if False, timescale",Timeseries Data?,Notes
,10.1590/S0100-204X2016000900016,2016,23072,1,Zschornack,2008,Agriculture,Fertilization,Fertilization,Fallow,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,11.4,,,30.4,3,,kg/ha/yr,,,,,,,,,,,Nov. - Feb/Mar
,10.1590/S0100-204X2016000900016,2016,23072,2,Zschornack,2008,Agriculture,Fertilization,Fertilization,200 kg/ha NPK; ryegrass+Gherkin,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,119.1,,,317.6,3,,kg/ha/yr,,,,,,,,,,,Nov. - Feb/Mar
,10.1590/S0100-204X2016000900016,2016,23072,3,Zschornack,2008,Agriculture,Fertilization,Fertilization,200 kg/ha NPK; ryegrass+Gherkin,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,118.3,,,315.4666667,3,,kg/ha/yr,,,,,,,,,,,Nov. - Feb/Mar
,10.1590/S0100-204X2016000900016,2016,23072,4,Zschornack,2008,Agriculture,Precipitation,Precipitation,Bare soil,-30.05,-52.883,,Arenic Haplic Eutrophic Planosol,Gas Chromatography,Dry,,263.3,,,702.1333333,3,,kg/ha/yr,,,,1,,,WFPS%,TRUE,,,Nov. - Feb/Mar
,10.1023/A:1009823425806,2000,23071,1,Xu,2016.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,28.6,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,2,Xu,2016.5,Agriculture,Fertilization,Fertilization,Flooded fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,24.59,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,3,Xu,2016.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,19.73,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,4,Xu,2016.5,Agriculture,Fertilization,Fertilization,Alfalfa,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,4.73,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,5,Xu,2016.5,Agriculture,Fertilization,Fertilization,Wheat,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,4.06,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,6,Xu,2017.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,38.17,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,7,Xu,2017.5,Agriculture,Fertilization,Fertilization,Flooded fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,16.21,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,8,Xu,2017.5,Agriculture,Fertilization,Fertilization,Dry fallow,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,35.2,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,9,Xu,2017.5,Agriculture,Fertilization,Fertilization,Alfalfa,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,5.62,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.1023/A:1009823425806,2000,23071,10,Xu,2017.5,Agriculture,Fertilization,Fertilization,Wheat,32.2,119.5,,Typic Haplaquepts,Gas Chromatography,Wet,,3.15,,,,3,,mg/m2/h,,,,1,,,WFPS%,TRUE,,,
,10.11821/dlxb202011004,2020,23070,1,Wu,2017,Forest,None,None,,53.583,122.275,400,,Gas Chromatography,Dry,,,,,,,,,,,,,,,,,,Upon Request,
,10.3390/su11154232 ,2019,23069,1,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.079,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.01039230485,,35.45,1.697409791,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,2,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.088,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.005196152423,,27.9,0.4156921938,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,3,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.098,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.01212435565,,34.42,1.143153533,40,VWC%,TRUE,,Figure/Table,
,10.3390/su11154232 ,2019,23069,4,Wu,2016,Forest,None,None,,45.375,127.533,,,Gas Chromatography,Dry,,−0.084,,,,3,mg CH4 m−2 h−1,mg/m2/h,,0.00692820323,,26.58,1.108512517,40,VWC%,TRUE,,Figure/Table,
